fireOrigin\images\286.jpg fireOrigin\annotations\286.xml
fireOrigin\images\39.jpg fireOrigin\annotations\39.xml
fireOrigin\images\218.jpg fireOrigin\annotations\218.xml
fireOrigin\images\253.jpg fireOrigin\annotations\253.xml
fireOrigin\images\49.jpg fireOrigin\annotations\49.xml
fireOrigin\images\69.jpg fireOrigin\annotations\69.xml
fireOrigin\images\212.jpg fireOrigin\annotations\212.xml
fireOrigin\images\398.jpg fireOrigin\annotations\398.xml
fireOrigin\images\294.jpg fireOrigin\annotations\294.xml
fireOrigin\images\199.jpg fireOrigin\annotations\199.xml
fireOrigin\images\72.jpg fireOrigin\annotations\72.xml
fireOrigin\images\455.jpg fireOrigin\annotations\455.xml
fireOrigin\images\459.jpg fireOrigin\annotations\459.xml
fireOrigin\images\445.jpg fireOrigin\annotations\445.xml
fireOrigin\images\377.jpg fireOrigin\annotations\377.xml
fireOrigin\images\483.jpg fireOrigin\annotations\483.xml
fireOrigin\images\318.jpg fireOrigin\annotations\318.xml
fireOrigin\images\279.jpg fireOrigin\annotations\279.xml
fireOrigin\images\333.jpg fireOrigin\annotations\333.xml
fireOrigin\images\424.jpg fireOrigin\annotations\424.xml
fireOrigin\images\234.jpg fireOrigin\annotations\234.xml
fireOrigin\images\230.jpg fireOrigin\annotations\230.xml
fireOrigin\images\317.jpg fireOrigin\annotations\317.xml
fireOrigin\images\163.jpg fireOrigin\annotations\163.xml
fireOrigin\images\113.jpg fireOrigin\annotations\113.xml
fireOrigin\images\207.jpg fireOrigin\annotations\207.xml
fireOrigin\images\86.jpg fireOrigin\annotations\86.xml
fireOrigin\images\242.jpg fireOrigin\annotations\242.xml
fireOrigin\images\91.jpg fireOrigin\annotations\91.xml
fireOrigin\images\502.jpg fireOrigin\annotations\502.xml
fireOrigin\images\9.jpg fireOrigin\annotations\9.xml
fireOrigin\images\192.jpg fireOrigin\annotations\192.xml
fireOrigin\images\134.jpg fireOrigin\annotations\134.xml
fireOrigin\images\327.jpg fireOrigin\annotations\327.xml
fireOrigin\images\181.jpg fireOrigin\annotations\181.xml
fireOrigin\images\44.jpg fireOrigin\annotations\44.xml
fireOrigin\images\111.jpg fireOrigin\annotations\111.xml
fireOrigin\images\171.jpg fireOrigin\annotations\171.xml
fireOrigin\images\418.jpg fireOrigin\annotations\418.xml
fireOrigin\images\35.jpg fireOrigin\annotations\35.xml
fireOrigin\images\38.jpg fireOrigin\annotations\38.xml
fireOrigin\images\488.jpg fireOrigin\annotations\488.xml
fireOrigin\images\433.jpg fireOrigin\annotations\433.xml
fireOrigin\images\371.jpg fireOrigin\annotations\371.xml
fireOrigin\images\90.jpg fireOrigin\annotations\90.xml
fireOrigin\images\160.jpg fireOrigin\annotations\160.xml
fireOrigin\images\416.jpg fireOrigin\annotations\416.xml
fireOrigin\images\298.jpg fireOrigin\annotations\298.xml
fireOrigin\images\305.jpg fireOrigin\annotations\305.xml
fireOrigin\images\20.jpg fireOrigin\annotations\20.xml
